2,Check Balance
2,How much do I have saved up in my accounts?
1,What is my current BoA savings balance?
2,How much money is in my bank account?
1,What is the total balance of my accounts?
2,Check budget
2,How much wiggle room do I have in my budget?
2,How much spare money do I have?
2,How much money can I save each month?
2,how much flexibility do I have in my budget?
2,Check affordable
1,Can I buy a $2.3M crib?
1,Can I get a mortgage for a $2.3 million pad?
2,Do I have enough Money to buy this $2.3M condo?
1,Can I afford a $2.3 million house?
1,Total amount of money in my bank
1,Total amount of money in my accounts
1,Total balance I have in my checking accounts
1,What is my balance in my accounts
2,How much do I have in my bank accounts
2,How much money do I earn each month after considering my spending?
2,Monthly earning subtract monthly spending?
1,What is my budget for this month?
0,Earning minus spending each month?
2,How much can I save up for this month?
1,Can I afford this $1.5M apartment?
2,Do I have money to purchase a $1.7M flat?
0,I want to acquire $1.8M residence
1,Can I get this $1.9M apartment with the money in my bank?
0,Will the bank lend me money to buy a $2.1M house?
2,how much money do I have?
1,what's my budget for this month?
2,how much can I save in a month?
2,check my accounts ending in 9898
2,How much do I have saved up in my accounts ending in?
1,What is the balance in my saving accounts?
2,How much do I have saved up in my checking accounts?
2,How much money do I have stashed up in my Bank of America?
2,check balance in my citi bank
1,What is the amount of money I can save for this month?
2,how is my earning and spending this month
2,How did I do in terms of this month's budget?
1,what is the wiggle room for me in this month
0,earning minus spending
2,how is my monthly saving and spending looks like?
1,what's the amount of money left in my budget?
0,Did I go over my budget this month?
2,do I have money saved up for this month?
0,Is it okay for me to buy a $1.6m mansion?
1,Can I purchase this $800K condo?
0,Is it possible for me to afford a $9M mansion
0,I'd love to invest a $2.3m apartment
1,Can I get a mortgage to acquire $2M apartment
1,can I buy that 4.6M house?
2,do I have enough money to buy a 2.3M house?
2,do I have money in my bank accounts to buy that 1.5M crib
0,I need to purchase this 500K pad
2,check my balance in BoA
1,please confirm my account Balance
0,I would love to check my chase account Balance
0,I need a $2.3m mortgage
0,I need a loan
1,Can I borrow $2.3m?
1,Can you help me pay for a $2.3m crib?
0,I need a $1.5M loan from bank.
1,can I get a loan with my credit score?
1,Can I get a mortgage from chase.
1,can you help me to check if I can get a loan
1,am I qualified to get a mortgage?
0,I really want to get a loan
0,will my bank loan me money?
2,where can I get a personal loan
2,would my bank approve my loan request
1,are personal loans hard to get?
2,how to get a loan?
1,what should I know before getting a loan?
1,am I qualified to get a mortgage for this $2.1M condo?
0,I need a personal loan so badly
1,what do I do to get a mortgage?
1,are personal loans hard to get?
1,What is an APR?
1,Can you please explain what an APR is?
2,Tell me about down-payments
2,How much would I typically need for a down-payment on a $2.3m mortgage?
2,How much would my monthly payments be on a $2.3m mortgage and a 3% APR?
1,What is the difference between interest rate and APR?
0,Which amounts are included in my monthly payments?
2,How does my escrow account work?
1,What Documentation Is Required To Get A Mortgage?
0,Which Type Of Mortgage Is Best For Me?
2,How Long Does It Take To Get A Mortgage?
1,What documents will I need to apply for a mortgage?
1,what is an annual percentage rate?
1,What documentation do I need to provide in order to get a mortgage?
1,What is mortgage insurance and why is it required?
2,How is my monthly mortgage payment applied to my mortgage loan?
1,What is the difference between the interest rate and the annual percentage rate?
1,what happens if I am unable to make my mortgage payments
1,can I pay off my mortgage early?
1,What are the different types of mortgage loans
2,How much do I spend on bills on shopping?
1,What was my necessities spend in the last 3 months?
2,Show me my bills for the last 5 weeks
1,What are my total expenses this month?
1,What was my discretionary budget in January?
0,i would like to know my discretionary budget in May?
2,How much do I spend on dining last month?
2,how is my necessities spend look like in the last 6 months?
1,what is my bills for the last 5 weeks
0,I want to know my total expenses this month
2,How is discretionary budget look like last month?
1,what's my monthly spending?
2,Where did I spend all my money last year?
2,do you have my monthly spending record?
2,how much money do I spend on renting?
2,how can I reduce my expenses
0,I would like to know my total expenses last week
2,do you have suggestions about my monthly spending
1,what is my largest spending this month?
2,how to calculate Discretionary budget?
